story_id,epic,title,user_role,description,priority,story_points,dependencies,acceptance_criteria_1,acceptance_criteria_2,acceptance_criteria_3,acceptance_criteria_4,acceptance_criteria_5,acceptance_criteria_6,acceptance_criteria_7,acceptance_criteria_8,acceptance_criteria_9,acceptance_criteria_10,technical_tasks,definition_of_done
"US-019","Core Gameplay Loop & Rules Engine","Collect $200 salary when passing or landing on GO","Player (Human and AI)","As a Player, I want my cash balance to be automatically credited with a $200 salary so that the game correctly follows the official rules and I receive the funds I am entitled to for completing a lap of the board.","Must Have","1","US-016, US-049","GIVEN A player's token is on 'Boardwalk' (space 39) with a cash balance of $500 WHEN The player rolls a 5, causing their token to move past GO and land on 'Baltic Avenue' (space 3) THEN The player's cash balance is automatically increased to $700 ($500 + $200).","GIVEN A player's token is on 'Park Place' (space 37) with a cash balance of $500 WHEN The player rolls a 3, causing their token to land exactly on 'GO' (space 0) THEN The player's cash balance is automatically increased to $700 ($500 + $200).","GIVEN A player's token is on 'Pennsylvania Avenue' (space 28) with a cash balance of $500 WHEN The player rolls a 2 and lands on the 'Go to Jail' space (space 30) THEN The player's token is moved directly to the 'In Jail' location (space 10) and their cash balance remains $500.","GIVEN A player's token is on a Chance or Community Chest space (e.g., space 36) with a cash balance of $500 WHEN The player draws a card that reads 'Go to Jail. Go directly to Jail. Do not pass GO. Do not collect $200.' THEN The player's token is moved directly to the 'In Jail' location (space 10) and their cash balance remains $500.","GIVEN A player's move qualifies them to collect a $200 salary WHEN The salary is credited to their account THEN A non-intrusive visual indicator (e.g., '+ $200' text animation) appears near their HUD element, and a positive confirmation sound effect is played.","","","","","",WI-016,"All acceptance criteria validated and passing
Code reviewed and approved by team
Unit tests covering all scenarios (pass, land, no pass, go to jail) implemented and passing with >95% coverage for the salary calculation module
Integration testing completed to verify PlayerState is correctly updated within the game loop
User interface feedback (visual and audio) reviewed and approved by a UX designer or product owner
Performance requirements verified (no delay in gameplay)
Security requirements validated
Documentation for the salary calculation logic is updated in the technical docs
Story deployed and verified in staging environment"
"US-020","Core Gameplay Loop & Rules Engine","Get out of jail by paying the $50 fine","The human player whose turn has started and whose status is 'InJail'.","As a player who is in jail, I want to be presented with the option to pay a $50 fine at the beginning of my turn, so that I can immediately get out of jail and continue my turn normally, allowing me to maintain momentum in the game.","Must Have","1","US-018, US-049","GIVEN I am in the 'InJail' state, it is the start of my turn, and my cash balance is $1500 WHEN the game presents the 'Get Out of Jail' options and I select the 'Pay $50 Fine' option THEN my cash balance is reduced to $1450, my player status is updated from 'InJail' to 'Active', my 'jail_turns_remaining' counter is reset, and I proceed to the Pre-Roll Management phase of my turn.","GIVEN I am in the 'InJail' state, it is the start of my turn, and my cash balance is $49 WHEN the game presents the 'Get Out of Jail' options THEN the 'Pay $50 Fine' option is visually disabled and non-interactive.","GIVEN I am in the 'InJail' state, it is the start of my turn, and my cash balance is exactly $50 WHEN I select the 'Pay $50 Fine' option THEN my cash balance is reduced to $0, my player status is updated to 'Active', and I proceed with my turn.","GIVEN I am in the 'InJail' state with $500 cash and have the option to pay the fine WHEN I select the 'Roll for Doubles' option instead THEN my cash balance remains $500 and the game proceeds with the dice roll attempt.","","","","","","",WI-016,"All acceptance criteria validated and passing
Code reviewed and approved by team
Unit tests implemented for the payment logic with >90% coverage, including all edge cases
Integration testing completed successfully for the UI-to-GameState flow
User interface reviewed and approved for clarity and usability
Performance requirements verified
Security requirements validated
Documentation updated appropriately
Story deployed and verified in staging environment"
"US-021","Core Gameplay Loop & Rules Engine","Get out of jail by using a 'Get Out of Jail Free' card","The human player who is currently in the 'InJail' state and possesses at least one 'Get Out of Jail Free' card.","As a player who is in jail and owns a 'Get Out of Jail Free' card, I want to be presented with the option to use it at the start of my turn, so that I can get out of jail immediately without spending money or relying on a lucky dice roll.","Must Have","2","US-018, US-024, US-025, US-020","GIVEN The player's status is 'InJail', it is the start of their turn, and their 'get_out_of_jail_cards' count is 1. WHEN The player is presented with their jail options and selects 'Use Get Out of Jail Free Card'. THEN The player's 'status' is updated to 'Active', their 'get_out_of_jail_cards' count becomes 0, their 'jail_turns_remaining' is reset to 0, and they proceed to the Pre-Roll Management Phase of a normal turn.","GIVEN The player uses a 'Get Out of Jail Free' card that originated from the Chance deck. WHEN The action to use the card is confirmed. THEN The specific 'Get Out of Jail Free' card is placed at the bottom of the Chance card deck.","GIVEN The player is viewing the jail options dialog. WHEN They click the 'Use Get Out of Jail Free Card' button. THEN The jail options dialog is closed, and the main game HUD for a normal turn is displayed, including the 'Roll Dice' button.","GIVEN The player's status is 'InJail', they have 1 'Get Out of Jail Free' card, and it is the start of their turn. WHEN The player selects the 'Pay $50 Fine' option instead of using the card. THEN The player's cash is reduced by $50, their status becomes 'Active', but their 'get_out_of_jail_cards' count remains 1.","GIVEN The player's status is 'InJail' and their 'get_out_of_jail_cards' count is 0. WHEN Their turn begins and the jail options are presented. THEN The UI option to 'Use Get Out of Jail Free Card' is not displayed or is disabled.","","","","","",WI-016,"All acceptance criteria validated and passing
Code reviewed and approved by at least one other developer
Unit tests covering the state changes in PlayerState and DeckState are implemented and achieve >70% coverage for new code
Integration testing for the full action (UI click -> state update -> turn progression) completed successfully
User interface for the jail options dialog is implemented and approved
The feature is verified as functional in a staging build
No regressions are introduced to the jailing or turn management systems"
"US-022","Core Gameplay Loop & Rules Engine","Attempt to get out of jail by rolling for doubles","The human player whose turn it is and whose status is 'InJail'.","As a player in jail, I want to choose the option to roll the dice on my turn, so that I can attempt to get out of jail for free by rolling doubles, preserving my cash and 'Get Out of Jail Free' cards.","Must Have","3","US-032, US-018, US-015, US-043, US-016","GIVEN I am in the Jail space with a status of 'InJail', it is the start of my turn, and I have 1, 2, or 3 'jail_turns_remaining' WHEN I select the 'Roll for Doubles' option from the jail action menu AND my 'jail_turns_remaining' counter is reset THEN my player status is updated from 'InJail' to 'Active'","GIVEN I am in the Jail space with a status of 'InJail', it is the start of my turn, and I have 3 or 2 'jail_turns_remaining' WHEN I select the 'Roll for Doubles' option AND my turn immediately ends and play proceeds to the next player THEN my 'jail_turns_remaining' is decremented by 1","GIVEN it is the start of my turn AND the dialog must contain a clearly labeled 'Roll for Doubles' button WHEN the pre-roll management phase begins THEN a modal UI dialog is presented with my available options","GIVEN the jail action menu is displayed with multiple options ('Roll for Doubles', 'Pay Fine') WHEN I click the 'Roll for Doubles' button THEN all other options in the jail action menu become disabled AND the dice roll sequence is initiated","","","","","","",WI-016,"All acceptance criteria validated and passing
Code reviewed and approved by at least one other developer
Unit tests covering state transitions and rule logic are implemented with >80% coverage
Integration testing for the full jail-to-active flow is completed successfully
The 'In Jail' UI has been reviewed and approved for usability
The special rule for 'no extra turn on doubles' is explicitly tested and verified
Documentation for the PlayerState 'jail_turns_remaining' attribute is updated
Story deployed and verified in the staging environment"
"US-023","Core Gameplay Loop & Rules Engine","Be forced to pay the fine after failing to roll doubles for 3 turns in jail","The Human Player","As a player in jail for my third consecutive turn, I want the game to automatically force me to pay the $50 fine if I fail to roll doubles, so that the official game rules are enforced and my turn can proceed correctly.","Must Have","5","US-022, US-038, US-047","GIVEN A player is in the 'InJail' state, their 'jail_turns_remaining' count is 1 (indicating the 3rd turn), and they have more than $50 cash WHEN The player chooses to roll the dice and the result is not doubles THEN The player's cash balance is reduced by $50, their status changes to 'Active', their token moves the number of spaces shown on the dice, the landing space action is triggered, and their turn ends.","GIVEN A player is in the 'InJail' state and their 'jail_turns_remaining' count is 1 WHEN The player chooses to roll the dice and the result is doubles THEN The player's cash balance is not changed, their status changes to 'Active', their token moves the number of spaces shown on the dice, the landing space action is triggered, and their turn ends without an extra roll.","GIVEN A player is in the 'InJail' state, their 'jail_turns_remaining' count is 1, and they have less than $50 cash WHEN The player rolls the dice and the result is not doubles THEN The game flow is paused, and the player is prompted to raise funds by mortgaging properties or selling buildings to cover the $50 debt. If they succeed, the turn proceeds as in AC-001. If they fail, the bankruptcy process is initiated.","GIVEN The conditions of AC-001 are met WHEN The player's cash is automatically deducted THEN A clear visual effect (e.g., '-$50' text animation) and an audio cue are triggered to inform the player of the transaction, and a message is added to the game log.","","","","","","",WI-016,"All acceptance criteria validated and passing
Code reviewed and approved by team
Unit tests covering all scenarios (sufficient funds, insufficient funds, doubles roll, non-doubles roll) are implemented and passing with >70% coverage for the relevant modules
Integration testing with the bankruptcy and asset management systems completed successfully
User interface feedback for the transaction is implemented and reviewed
The special rule for not getting an extra turn after rolling doubles out of jail is verified
Documentation for the jail state machine is updated
Story deployed and verified in staging environment"
"US-024","Core Gameplay Loop & Rules Engine","Draw a Chance card when landing on a Chance space","Human Player, AI Player","As a player, I want the game to automatically draw a Chance card and execute its instructions when my token lands on a Chance space, so that the game follows the official rules and introduces the element of luck and surprise that is core to the Monopoly experience.","Must Have","5","US-016, US-018, US-019, US-047","GIVEN A player has $1000 cash and the top card of the Chance deck is 'Bank pays you dividend of $50' WHEN The player's token lands on a Chance space THEN A UI element displays the card 'Bank pays you dividend of $50', the player's cash balance becomes $1050, the card is placed at the bottom of the Chance deck, and the player's turn ends (if they did not roll doubles).","GIVEN A player is on the Chance space at index 36 and the top card is 'Advance to Go' WHEN The player's token lands on the Chance space THEN The card is displayed, the player's token moves to the GO space (index 0), the player's cash balance increases by $200, and the card is returned to the bottom of the deck.","GIVEN A player is on the Chance space at index 7 and the top card is 'Go Back 3 Spaces' WHEN The player's token lands on the Chance space THEN The card is displayed, the player's token moves to the space at index 4 (Income Tax), the player's cash balance does not change for passing GO, the Income Tax action is triggered, and the card is returned to the bottom of the deck.","GIVEN A player has 0 'Get Out of Jail Free' cards WHEN The player's token lands on a Chance space and draws the 'Get Out of Jail Free' card THEN The card is displayed, the player's 'get_out_of_jail_cards' count in their PlayerState becomes 1, and this specific card is removed from the deck cycle until used.","GIVEN A player is on any Chance space WHEN The player draws the 'Go to Jail. Go directly to Jail. Do not pass Go, do not collect $200' card THEN The card is displayed, the player's token moves directly to the 'In Jail' section of the Jail space, their status is set to 'InJail', they do not collect $200 (even if passing Go), and their turn immediately ends.","GIVEN A player has $10 cash and no mortgagable assets, and draws the 'Pay poor tax of $15' card WHEN The player's token lands on a Chance space THEN The card is displayed, the system determines the player cannot pay, and the standard bankruptcy process is initiated.","GIVEN An AI player's turn is active WHEN The AI player's token lands on a Chance space THEN A non-intrusive UI notification briefly displays the card drawn by the AI, the card's effect is automatically applied to the AI's PlayerState, and the game flow continues without requiring input from the human player.","","","",WI-016,"All acceptance criteria validated and passing
Code reviewed and approved by team
Unit tests implemented for card effect logic and deck management, achieving >70% coverage for the new code
Integration testing completed for the full land->draw->execute->update state cycle
User interface for card display is implemented and visually polished
All 16 standard Chance cards are implemented and tested
The card data is successfully loaded from an external JSON file
Documentation for the card effect system is created
Story deployed and verified in staging environment"
"US-025","Core Gameplay Loop & Rules Engine","Draw a Community Chest card when landing on a Community Chest space","The Player (Human or AI)","As a player, I want the game to automatically draw a Community Chest card and execute its instructions when my token lands on a Community Chest space, so that the game correctly follows the official rules of Monopoly and the game state is updated accordingly without manual effort.","Must Have","5","US-016, US-018, US-047","GIVEN A player is taking their turn and the Community Chest deck is populated and shuffled WHEN The player's token movement ends on a Community Chest space THEN The system automatically draws the top card from the Community Chest deck. AND The event (card drawn, action taken) is logged at the INFO level with the turn number and player ID.","GIVEN A player lands on Community Chest WHEN They draw a card instructing them to collect money (e.g., 'Bank error in your favor. Collect $200') THEN The player's cash balance in their PlayerState object and the HUD is increased by the specified amount.","GIVEN A player with sufficient funds lands on Community Chest WHEN They draw a card instructing them to pay money (e.g., 'Doctor's fee. Pay $50') THEN The player's cash balance in their PlayerState object and the HUD is decreased by the specified amount.","GIVEN A player lands on Community Chest WHEN They draw a card instructing them to move (e.g., 'Advance to Go') THEN The player's token is moved directly to the specified space. AND Any associated actions for that move (e.g., collecting $200 for passing/landing on Go) are triggered.","GIVEN A player lands on Community Chest WHEN They draw the 'Go to Jail' card THEN The player's token is moved directly to the 'In Jail' section of the board. AND The player's turn ends immediately.","GIVEN A player lands on Community Chest WHEN They draw the 'Get Out of Jail Free' card THEN The player's `get_out_of_jail_cards` count is incremented by one. AND The card is removed from the deck until it is used.","GIVEN A player lands on Community Chest and there are other active players WHEN They draw a card like 'It is your birthday. Collect $10 from every player' THEN The active player's cash balance increases by the specified amount multiplied by the number of opponents. AND Each opponent's cash balance decreases by the specified amount.","GIVEN A player has insufficient cash and assets to cover a payment WHEN They draw a Community Chest card that requires a payment (e.g., 'Hospital Fees. Pay $100') THEN The game's standard bankruptcy procedure is triggered. AND The debt is owed to the Bank.","","",WI-016,"All acceptance criteria validated and passing
Code reviewed and approved by at least one other developer
Unit tests implemented for the card action execution logic with >70% coverage
Integration tests completed for bankruptcy and multi-player payment scenarios
User interface for card display reviewed and approved by the UI/UX lead
Performance requirements verified on a minimum spec machine
All card text is sourced from external resource files for localization readiness
Documentation for the card data format and action system is created
Story deployed and verified in the staging environment"
"US-026","Core Gameplay Loop & Rules Engine","Choose to pay $200 or 10% of my net worth for Income Tax","Human Player","As a human player, I want to be presented with a clear choice between paying a flat $200 or 10% of my total net worth when I land on the Income Tax space, so that I can make the most strategic financial decision to preserve my cash and improve my chances of winning, in accordance with the official game rules.","Must Have","5","US-016, US-038, US-033, US-047","GIVEN The human player's turn is active and their token's movement ends on the 'Income Tax' space WHEN The player's movement phase concludes THEN The game flow pauses and a modal dialog is displayed to the player.","GIVEN The player has $500 cash, owns properties with a total printed price of $1200, and has buildings with a total purchase price of $300 (Total Net Worth = $2000) WHEN The Income Tax dialog is displayed THEN The dialog must present two choices: one for a flat '$200' and another for '10% of Net Worth' which displays the calculated value of '$200'.","GIVEN The player has $1000 cash and a total net worth of $2500, and the Income Tax dialog is displayed with options '$200' and '$250' WHEN The player selects the '$200' option THEN The player's cash balance is reduced to $800, the dialog closes, and the player's turn ends.","GIVEN The player has $1000 cash and a total net worth of $1500, and the Income Tax dialog is displayed with options '$200' and '$150' WHEN The player selects the '$150' option THEN The player's cash balance is reduced to $850, the dialog closes, and the player's turn ends.","GIVEN The player has $100 cash and a total net worth of $1500, and the Income Tax dialog is displayed WHEN The player selects either the '$200' or '$150' option THEN The game initiates the bankruptcy/asset liquidation flow, requiring the player to mortgage properties or sell buildings to cover the chosen debt before their turn can end.","GIVEN The player has $0 cash and owns no properties or buildings (Total Net Worth = $0) WHEN The Income Tax dialog is displayed THEN The dialog shows options for '$200' and '$0'.","","","","",WI-015,"All acceptance criteria validated and passing.
Code reviewed and approved by at least one other developer.
Unit tests for the NetWorthCalculator service are written and achieve a minimum of 80% code coverage.
Integration tests covering the choice-to-payment and choice-to-bankruptcy-flow scenarios are implemented and passing.
The UI dialog has been reviewed and approved for clarity and usability.
The feature has been manually tested and verified in a development build.
All related documentation has been updated.
The story has been deployed and verified in the staging environment."
"US-027","Core Gameplay Loop & Rules Engine","Pay a fixed Luxury Tax amount","The human player or any AI player whose turn it is.","As a player, I want the game to automatically deduct the fixed Luxury Tax amount from my cash when I land on that space, so that the game correctly follows the official rules and I can continue my turn without manual calculations.","Must Have","2","US-016, US-038, US-047, US-052","GIVEN A player has a cash balance greater than the Luxury Tax amount WHEN The player's token movement ends on the 'Luxury Tax' space THEN The fixed tax amount is deducted from the player's cash balance. AND The transaction is logged at the INFO level with the turn number, player ID, transaction type ('LuxuryTax'), and amount, as per SRS 2.8.","GIVEN A player has a cash balance exactly equal to the Luxury Tax amount WHEN The player's token movement ends on the 'Luxury Tax' space THEN The fixed tax amount is deducted, and the player's cash balance becomes $0. AND All other effects from AC-001 (notification, sound, logging) occur as expected.","GIVEN A player has a cash balance less than the Luxury Tax amount but owns assets (buildings or unmortgaged properties) WHEN The player's token movement ends on the 'Luxury Tax' space THEN The game flow is paused, and the player is prompted to manage their assets to pay the debt. AND Once the player has raised sufficient funds, the tax is automatically paid, and the game flow resumes.","GIVEN A player has a cash balance less than the Luxury Tax amount AND If the bankrupt player is human, the 'Lose Condition' is met and the game-over screen is displayed (SRS 7.3). WHEN The player's token movement ends on the 'Luxury Tax' space and they fail to cover the debt THEN The player is declared bankrupt to the Bank, as per SRS 7.1 and 7.2.","","","","","","",WI-015,"All acceptance criteria (AC-001 to AC-004) are validated and passing.
Code has been peer-reviewed and adheres to Microsoft C# Coding Conventions (SRS 2.7.2).
Unit tests covering the payment logic and fund-checking have been implemented and achieve required coverage (SRS 2.7.4).
Integration tests confirming the correct interaction with the PlayerState, UI, and Bankruptcy systems are passing.
Visual and audio feedback has been reviewed and approved by the UX lead.
The transaction is correctly logged in the specified structured JSON format (SRS 2.6).
Functionality has been verified in a release candidate build."
"US-028","Core Gameplay Loop & Rules Engine","Experience no gameplay effect when landing on Free Parking","Any player in the game (Human or AI)","As a player, I want the game to apply no special action when my token lands on the Free Parking space so that the game adheres to the official Monopoly rules and my turn proceeds correctly.","Must Have","1","US-015, US-016, US-017, US-019","GIVEN a player is in an active turn and has not rolled doubles WHEN the player's token movement concludes on the 'Free Parking' space THEN the player's cash balance remains unchanged, no action prompt is displayed, and the game proceeds to the next player's turn.","GIVEN a player is in an active turn and has not rolled three consecutive doubles WHEN the player rolls doubles and their token movement concludes on the 'Free Parking' space THEN the player's cash balance remains unchanged, no action prompt is displayed, and the game prompts the player to take their extra turn.","GIVEN a player is on a space before GO (e.g., Boardwalk) with $500 cash WHEN the player rolls a number that causes them to pass GO and land on 'Free Parking' THEN the player's cash balance first increases by $200 for passing GO, resulting in a final balance of $700, and the 'Free Parking' space itself has no further effect on their cash.","GIVEN it is an AI player's turn WHEN the AI player's token movement concludes on the 'Free Parking' space THEN the AI's cash balance remains unchanged and its turn ends, unless it rolled doubles.","","","","","","",WI-016,"All acceptance criteria validated and passing
Code reviewed and approved by team
Unit tests for the Free Parking space logic and its interaction with the Turn Manager are implemented and passing with >= 70% coverage
Integration testing completed successfully for all scenarios, including the doubles rule interaction
User interface reviewed and approved
Performance requirements verified
Security requirements validated
Documentation updated appropriately
Story deployed and verified in staging environment"
"US-029","Core Gameplay Loop & Rules Engine","Manage my properties before rolling the dice","The Human Player","As a strategic player, I want a dedicated phase at the start of my turn to manage my properties (build, mortgage, trade) before I roll the dice, so that I can proactively adjust my financial position and property development to prepare for the opportunities and risks of my upcoming move.","Must Have","5","US-015, US-033, US-038, US-040, US-052","GIVEN It is the start of the human player's turn, and the player is not in jail. WHEN The game transitions control to the human player. THEN The game enters a 'Pre-Roll Management Phase', the 'Roll Dice' button is enabled, and all property management UI controls (e.g., 'Manage Properties', 'Propose Trade') are enabled.","GIVEN The player is in the 'Pre-Roll Management Phase'. WHEN The player successfully builds a house on a property and then clicks the 'Roll Dice' button. THEN The house is visually and logically added to the property, the player's cash is deducted, the property management controls become disabled, and the game proceeds to the 'Roll Phase'.","GIVEN The player is in the 'Pre-Roll Management Phase'. WHEN The player clicks the 'Roll Dice' button without performing any management actions. THEN The game proceeds directly to the 'Roll Phase' without any changes to the player's assets.","GIVEN The player is in the 'Pre-Roll Management Phase' and owns a monopoly. WHEN The player attempts to build a second house on one property before all other properties in the set have one house. THEN The action is blocked, and a user-friendly notification is displayed explaining the 'even building' rule.","GIVEN The player has just completed a turn where they rolled doubles. WHEN The game grants the player an extra turn. THEN The game returns to the 'Pre-Roll Management Phase', allowing the player to manage properties again before their next roll.","GIVEN The player's turn starts while they are in jail. WHEN The game transitions control to the human player. THEN The game enters the 'Pre-Roll Management Phase', allowing the player to build, mortgage, or trade before being presented with the options to get out of jail.","","","","",WI-011,"All acceptance criteria validated and passing
Code for the turn state machine is reviewed and approved by a senior developer
Unit tests for the TurnManager achieve >80% coverage on state transition logic
Integration testing confirms that management actions correctly modify the GameState and the turn proceeds as expected
UI controls are confirmed to be enabled/disabled at the correct times during the turn cycle
Performance requirements verified
Security requirements validated
Documentation for the Game Turn State Machine is created or updated
Story deployed and verified in staging environment"
"US-030","Core Gameplay Loop & Rules Engine","Choose to buy an unowned property I land on","Human Player","As a human player, I want to be presented with a clear, informative prompt when I land on an unowned property, giving me the option to purchase it for its listed price, so that I can strategically acquire assets, build monopolies, and progress towards winning the game.","Must Have","5","US-016, US-032, US-050","GIVEN I am the human player, my turn is active, and I have $1000 in cash WHEN my token's movement ends on the unowned property 'St. Charles Place' (list price $140) THEN the game flow pauses and a modal dialog is displayed. AND the dialog closes and the game proceeds to the post-roll phase.","GIVEN I am the human player, my turn is active, and I have $100 in cash WHEN my token's movement ends on the unowned property 'St. Charles Place' (list price $140) THEN the game flow pauses and a modal dialog is displayed. AND the 'Auction' button remains enabled as my only valid choice besides closing the prompt (which should default to auction per rules).","GIVEN I am the human player, my turn is active, and I have exactly $140 in cash WHEN my token's movement ends on the unowned property 'St. Charles Place' (list price $140) THEN the purchase prompt is displayed with the 'Buy ($140)' button enabled. AND I successfully acquire 'St. Charles Place'.","GIVEN I am the human player and my turn is active WHEN my token lands on a non-property space like 'Chance', 'Community Chest', 'Go to Jail', or 'Free Parking' THEN the property purchase dialog is NOT displayed. AND the game proceeds with the action corresponding to that space.","","","","","","",WI-013,"All acceptance criteria validated and passing
Code reviewed and approved by at least one other developer
Unit tests covering transaction logic and affordability checks are implemented with >80% coverage and passing
Integration testing for the full land->prompt->buy->update cycle is completed successfully
User interface for the purchase prompt is implemented, reviewed, and approved by the UI/UX lead
Performance requirement (dialog display time) is verified
Code is merged into the main development branch
Story is deployed and verified in the staging environment"
"US-031","Core Gameplay Loop & Rules Engine","Choose to send an unowned property to auction instead of buying it","The Human Player interacting with the game during their turn.","As a Human Player, I want the option to decline the immediate purchase of an unowned property I land on so that I can trigger an auction for that property, allowing me to either acquire it for a lower price or force other players to spend their cash.","Must Have","2","US-030, US-032, US-016","GIVEN I am the human player, it is my turn, and I have landed on an unowned property that I have sufficient cash to purchase WHEN the game presents me with a modal dialog to buy the property THEN the dialog must display two distinct, enabled options: 'Buy' and 'Auction'.","GIVEN the purchase decision dialog for an unowned property is displayed WHEN I click the 'Auction' button THEN the purchase decision dialog closes immediately. AND the auction process begins, involving all active players (human and AI).","GIVEN I am the human player, it is my turn, and I have landed on an unowned property that I do not have sufficient cash to purchase WHEN the game presents me with the purchase decision dialog THEN the 'Buy' button must be visually disabled and non-interactive. AND the 'Auction' button must remain enabled and interactive.","GIVEN the purchase decision dialog is displayed on screen WHEN I attempt to click on any other UI element outside the dialog (e.g., the settings menu, another player's info panel) THEN the interaction has no effect, and the dialog remains the focus until a decision is made.","","","","","","",WI-013,"All acceptance criteria validated and passing
Code reviewed and approved by team
Unit tests for button state logic implemented and passing with >80% coverage
Integration testing with the Auction Manager (US-032) completed successfully
User interface for the decision dialog is implemented, reviewed, and approved
Functionality verified on all target aspect ratios
Story deployed and verified in staging environment"
"US-032","Core Gameplay Loop & Rules Engine","Participate in an auction for a property","Human Player","As a Human Player, I want to participate in a turn-based auction for an unowned property, placing bids against AI opponents, so that I have a strategic opportunity to acquire properties that were not purchased outright and can compete to complete my sets or block my opponents.","Must Have","5","US-031, US-045","GIVEN an auction is in progress for 'Boardwalk' and it is the human player's turn to bid WHEN the human player places a valid winning bid and all other players withdraw THEN the auction UI closes, the final bid amount is deducted from the human player's cash, the 'Boardwalk' property is added to their portfolio, and a notification confirms their win.","GIVEN an auction is in progress and it is the human player's turn to bid WHEN the human player selects the 'Withdraw' or 'Pass' option THEN the human player is marked as inactive for this auction, their bidding controls are disabled, and the turn passes to the next player in the bidding order.","GIVEN an auction is in progress and the human player is participating or has withdrawn WHEN an AI player places the winning bid THEN the auction UI closes, a non-intrusive notification announces which AI won the property and for how much, and the game flow continues.","GIVEN an auction is in progress, the current high bid is $200, and the human player has $205 cash WHEN it is the human player's turn and the minimum next bid is $206 THEN the 'Place Bid' button is disabled and a visual cue indicates insufficient funds, leaving 'Withdraw' as the only available action.","GIVEN an auction is started by Player 2 in a 4-player game (Human, AI-1, AI-2, AI-3) WHEN the auction begins THEN the first player to bid is Player 2, followed by AI-2, then AI-3, then the Human, and so on, skipping any players who have withdrawn.","GIVEN the user has set the 'Game Speed' to 'Fast' or 'Instant' in the settings WHEN an auction involving the human player begins THEN the game's animation speed is temporarily set to 'Normal' for the duration of the auction. AND the game speed reverts to the user's original setting immediately after the auction concludes.","","","","",WI-013,"All acceptance criteria validated and passing.
Code reviewed and approved by at least one other developer.
Unit tests covering auction logic (bidding, winning, withdrawing) achieve >80% coverage.
Integration tests for the full auction lifecycle (trigger -> bidding -> resolution -> game resume) are implemented and passing.
The auction UI has been reviewed for clarity and usability by a UX designer or product owner.
Performance requirements for UI load time and AI bid pacing are met.
The feature is verified as functional in a staging build."
"US-033","Core Gameplay Loop & Rules Engine","Build houses on properties in a complete color set","Human Player","As a player who owns a complete color set, I want to purchase and build houses on those properties so that I can increase the rent value and gain a strategic advantage over my opponents.","Must Have","5","US-030, US-052, US-034, US-036","GIVEN I am the active player, it is my turn before I roll the dice, I own all properties in the Light Blue color set, none of which are mortgaged or have houses, I have at least $50 cash, and the bank has at least one house available WHEN I navigate to the property management screen and choose to build one house on Oriental Avenue THEN my cash is reduced by the house cost ($50), the bank's available house count decreases by one, a visual representation of one house appears on the Oriental Avenue space on the board, and the property management UI updates to show Oriental Avenue has one house.","GIVEN I own Oriental Avenue and Vermont Avenue, but not Connecticut Avenue WHEN I access the property management screen and view the Light Blue properties THEN the option to build houses on Oriental Avenue or Vermont Avenue is disabled or hidden, and a tooltip or message indicates that a complete color set is required to build.","GIVEN I own the complete Light Blue monopoly and have $49 cash WHEN I attempt to build a house on any Light Blue property (costing $50) THEN the build action is disabled or, if clicked, fails with a clear visual and/or audio notification stating 'Insufficient Funds'. My cash balance remains unchanged.","GIVEN I own the complete Light Blue monopoly, have sufficient cash, but the bank's house supply is 0 WHEN I attempt to build a house on any Light Blue property THEN the action is blocked and a message is displayed informing me that there are no houses left in the bank.","GIVEN I own the complete Light Blue monopoly, but Oriental Avenue is mortgaged WHEN I attempt to build a house on Oriental Avenue THEN the action is blocked, and the UI clearly indicates that buildings cannot be placed on mortgaged properties.","GIVEN I own all four Railroads WHEN I select a Railroad in the property management screen THEN no option to build houses is presented for that property.","GIVEN I own the complete Light Blue monopoly. Oriental Avenue has 1 house. Vermont Avenue and Connecticut Avenue have 0 houses. WHEN I attempt to build a second house on Oriental Avenue THEN the action is blocked, and a message explains that I must build one house on Vermont and Connecticut before building a second on Oriental.","","","",WI-014,"All acceptance criteria validated and passing
Code reviewed and approved by at least one other developer
Unit tests for the build validation logic in the Rule Engine are implemented and achieve >70% coverage
Integration testing for the UI-to-GameState-to-UI flow is completed successfully
User interface for building is reviewed and approved by the UX lead
Performance of the build action is verified to be under 100ms
All related business rules (monopoly, even-build, mortgage, bank supply) are enforced correctly
Documentation for the build logic is updated
Story deployed and verified in the staging environment"
