Title,Description,Type,Status,Priority,Assignee,Reporter,Due Date,Estimate,Labels,Sprint,Epic,Project,Attachments,Comments,Parent ID,Dependencies,Created At,Updated At,Skills Required
"Develop Minimalist Error Modal UI Prefab","Create a Unity UI prefab for the error dialog. It must be self-contained on its own Canvas to minimize the risk of it failing if the main game UI crashes. The prefab will include text elements for the message, error ID, and log path, plus a 'Close' button.",Task,Backlog,High,frontend-dev@project.com,pm@project.com,"",6.67,"ui,error-handling","Sprint 1","Technical Foundation & DevOps","Monopoly Tycoon","","","US-005","","","","Unity UI,C#"
"Implement Error Handling Data Flow and Logic","In the Global Exception Handler, implement the logic to: 1. Generate a unique correlation ID (e.g., a short GUID). 2. Call the LoggingService to log the full exception with the ID. 3. Instantiate and show the Error Dialog UI, passing it the ID and log path. 4. Ensure the log is flushed before the application terminates.",Task,Backlog,Highest,backend-dev@project.com,pm@project.com,"",10,"error-handling,integration","Sprint 1","Technical Foundation & DevOps","Monopoly Tycoon","","","US-005","TASK-EPIC1-WI2-1,TASK-EPIC1-WI3-1,TASK-EPIC1-WI3-2","","","C#,Unity"
"Start a new game from the main menu","As a player, I want to select a 'New Game' option from the main menu so that I can proceed to the game setup screen and configure a new match.",Story,Backlog,Highest,"",pm@project.com,"",1,"Game Setup and Configuration,main-menu","Sprint 1","User Interface & Player Experience","Monopoly Tycoon","","","EPIC-004","","","",
"Roll two six-sided dice to start my move","As a human player whose turn it is, I want to click a button to roll two virtual dice, so that I can determine the number of spaces my token will move and proceed with my turn.",Story,Backlog,Highest,"",pm@project.com,"",24.34,"Player Turn Mechanics,dice-roll","Sprint 2","Core Game Engine & Rules","Monopoly Tycoon","","","EPIC-002","US-029","","",
"Implement DiceService with Secure RNG","Create a `DiceService` class in the core logic library. The service will have a method that returns a result object containing two independent random integers, each between 1 and 6. The random number generation must use `System.Security.Cryptography.RandomNumberGenerator` as per REQ-1-042.",Task,Backlog,Highest,gameplay-dev@project.com,pm@project.com,"",6,"core-logic,rng,game-mechanics","Sprint 2","Core Game Engine & Rules","Monopoly Tycoon","","","US-015","TASK-EPIC1-WI1-1","","","C#,Cryptography"
"Create 3D Dice Roll Animation","Develop the visual component for the dice roll. This includes creating or integrating 3D models for the dice, writing a script to animate them (either physics-based or pre-canned animation), and displaying the final result.",Task,Backlog,High,frontend-dev@project.com,pm@project.com,"",10.33,"animation,vfx,ui","Sprint 2","Core Game Engine & Rules","Monopoly Tycoon","","","US-015","TASK-EPIC2-WI8-1","","","Unity,Animation,C#"
"Integrate Dice Roll into Turn Manager","Update the `TurnManager` state machine. During the 'Pre-Roll Management Phase', the 'Roll Dice' UI button is active. Clicking it will call the `DiceService`, trigger the dice animation, and transition the game state to the 'Movement Phase'. The doubles counter logic will be integrated here.",Task,Backlog,Highest,gameplay-dev@project.com,pm@project.com,"",8,"game-flow,state-machine,core-logic","Sprint 2","Core Game Engine & Rules","Monopoly Tycoon","","","US-015","TASK-EPIC2-WI7-1,TASK-EPIC2-WI8-1,TASK-EPIC2-WI31-1","","","C#,Unity"
"Create a player profile with a custom name","As a new or returning player, I want to create a personal profile by entering a custom name, so that my game progress, historical statistics, and high scores are saved and displayed under my unique identity, enhancing my sense of ownership and achievement.",Story,Backlog,Highest,"",pm@project.com,"",2,"Player Profile and Progression,player-profile","Sprint 2","User Interface & Player Experience","Monopoly Tycoon","","","EPIC-004","US-008","","",
"Receive feedback for an invalid profile name","As a player setting up my profile, I want to receive immediate and clear feedback if the name I enter is invalid, so that I can easily correct it and proceed to start the game without frustration.",Story,Backlog,Highest,"",pm@project.com,"",1,"Player Profile Management,validation","Sprint 2","User Interface & Player Experience","Monopoly Tycoon","","","EPIC-004","US-011","","",
"Select my player token from a set of classic options","As a player setting up a new game, I want to choose my game piece from a visual selection of classic tokens, so that I can personalize my in-game identity and feel more connected to the game experience.",Story,Backlog,Highest,"",pm@project.com,"",2,"Player Onboarding and Customization,personalization","Sprint 2","User Interface & Player Experience","Monopoly Tycoon","","","EPIC-004","US-009,US-011","","",
"Watch my token automatically move around the board","As a player, I want to see my game token animate its movement from one space to the next after I roll the dice, so that I can visually track my progress around the board and have an immersive, intuitive gameplay experience.",Story,Backlog,Highest,"",pm@project.com,"",5,"Game Board Interaction and Visuals,animation","Sprint 2","Core Game Engine & Rules","Monopoly Tycoon","","","EPIC-002","US-014,US-015","","",
"View at-a-glance information for all players in the HUD","As a player, I want a persistent on-screen display showing the name, token, and current cash for every player, so that I can instantly assess the financial standing of my opponents and myself to make better strategic decisions throughout the game.",Story,Backlog,Highest,"",pm@project.com,"",3,"Core Gameplay Experience,hud","Sprint 2","User Interface & Player Experience","Monopoly Tycoon","","","EPIC-004","US-009,US-011,US-014","","",
"Configure a game with one to three AI opponents","As a player setting up a new game, I want to select the number of AI opponents from a choice of one, two, or three, so that I can customize the game's challenge, duration, and overall experience to my preference.",Story,Backlog,Highest,"",pm@project.com,"",1,"Player Onboarding and Game Customization,game-setup","Sprint 2","User Interface & Player Experience","Monopoly Tycoon","","","EPIC-004","US-008","","",
"Set a unique difficulty level for each AI opponent","As a Human Player setting up a new game, I want to independently assign a difficulty level (Easy, Medium, or Hard) to each of my AI opponents so that I can customize the game's challenge to match my skill level and desired experience, enhancing replayability.",Story,Backlog,Highest,"",pm@project.com,"",3,"Player Configuration and Customization,ai-settings","Sprint 2","User Interface & Player Experience","Monopoly Tycoon","","","EPIC-004","US-009","","",
"Collect $200 salary when passing or landing on GO","As a Player, I want my cash balance to be automatically credited with a $200 salary when my token passes over or lands on the GO space, so that the game correctly follows the official rules.",Story,Backlog,Highest,"",pm@project.com,"",1,"Game Flow and Board Rules,game-mechanics","Sprint 3","Core Game Engine & Rules","Monopoly Tycoon","","","EPIC-002","US-016,US-049","","",
"Choose to buy an unowned property I land on","As a human player, I want to be presented with a clear prompt when I land on an unowned property, giving me the option to purchase it for its listed price, so that I can strategically acquire assets.",Story,Backlog,Highest,"",pm@project.com,"",5,"Property and Economic Management,property-purchase","Sprint 3","Property & Economic System","Monopoly Tycoon","","","EPIC-003","US-016,US-050","","",
"Automatically pay rent when I land on an opponent's property","As a player, I want the game to automatically calculate and process my rent payment when I land on an opponent's property, so that the game flows smoothly and the rules are enforced correctly.",Story,Backlog,Highest,"",pm@project.com,"",5,"Player Turn Cycle,rent","Sprint 3","Core Game Engine & Rules","Monopoly Tycoon","","","EPIC-002","US-016,US-030,US-033,US-038,US-047","","",
"Automatically collect rent when an opponent lands on my property","As a property owner, I want the game to automatically calculate and transfer the correct rent from an opponent who lands on my property so that the game rules are enforced fairly.",Story,Backlog,Highest,"",pm@project.com,"",5,"Economic Management,rent","Sprint 3","Property & Economic System","Monopoly Tycoon","","","EPIC-003","US-016,US-030,US-033,US-038,US-047","","",
"Save game progress into one of several save slots","As a player, I want to save my current game progress into a specific save slot at the start of my turn, so that I can safely exit the game and resume playing from the same point at a later time.",Story,Backlog,Highest,"",pm@project.com,"",5,"Core Gameplay Features,save-game","Sprint 3","Data Persistence & Management","Monopoly Tycoon","","","EPIC-006","US-044,US-054","","",
"Load a game from a previously saved slot","As a returning player, I want to select and load a previously saved game from the main menu, so that I can seamlessly continue my progress without having to start over.",Story,Backlog,Highest,"",pm@project.com,"",5,"Core Gameplay Features,load-game","Sprint 3","Data Persistence & Management","Monopoly Tycoon","","","EPIC-006","US-061,US-063","","",
"See clear visual indicators of property ownership on the board","As a player, I want clear, player-specific visual indicators on each property space on the board so that I can instantly understand who owns what and make faster strategic decisions.",Story,Backlog,Highest,"",pm@project.com,"",5,"Core Gameplay Experience,board-ui","Sprint 3","User Interface & Player Experience","Monopoly Tycoon","","","EPIC-004","US-030,US-038,US-040,US-047","","",
"Interact with modal dialogs for critical decisions","As a human player, I want the game to pause and display a focused, interactive pop-up for critical decisions, so that I can consciously evaluate my options without the risk of missing important game events.",Story,Backlog,Highest,"",pm@project.com,"",5,"Core Gameplay Interaction,modals","Sprint 3","User Interface & Player Experience","Monopoly Tycoon","","","EPIC-004","US-026,US-030,US-041","","",
"Receive an extra turn after rolling doubles","As a player (human or AI), I want to be granted an immediate, additional turn after I roll doubles, so that the game correctly follows the official Monopoly rules and provides an authentic gameplay experience.",Story,Backlog,Highest,"",pm@project.com,"",2,"Game Flow and Turn Management,doubles-rule","Sprint 4","Core Game Engine & Rules","Monopoly Tycoon","","","EPIC-002","US-015,US-022","","",
"Be sent to jail for rolling three consecutive doubles","As a player, I want the game to automatically send my token to jail if I roll three consecutive doubles in a single turn, so that the game correctly enforces the official rules.",Story,Backlog,Highest,"",pm@project.com,"",2,"Game Rule Enforcement,jail","Sprint 4","Core Game Engine & Rules","Monopoly Tycoon","","","EPIC-002","US-017","","",
"Get out of jail by paying the $50 fine","As a player who is in jail, I want to be presented with the option to pay a $50 fine at the beginning of my turn, so that I can immediately get out of jail and continue my turn normally.",Story,Backlog,Highest,"",pm@project.com,"",1,"Jail Management,jail","Sprint 4","Core Game Engine & Rules","Monopoly Tycoon","","","EPIC-002","US-018,US-049","","",
"Get out of jail by using a 'Get Out of Jail Free' card","As a player who is in jail and owns a 'Get Out of Jail Free' card, I want to be presented with the option to use it at the start of my turn, so that I can get out of jail immediately without spending money.",Story,Backlog,Highest,"",pm@project.com,"",2,"Jail and Player Status Management,jail","Sprint 4","Core Game Engine & Rules","Monopoly Tycoon","","","EPIC-002","US-018,US-024,US-025","","",
"Attempt to get out of jail by rolling for doubles","As a player in jail, I want to choose the option to roll the dice on my turn, so that I can attempt to get out of jail for free by rolling doubles.",Story,Backlog,Highest,"",pm@project.com,"",3,"Jail and Incarceration Mechanics,jail","Sprint 4","Core Game Engine & Rules","Monopoly Tycoon","","","EPIC-002","US-015,US-018","","",
"Draw a Chance card when landing on a Chance space","As a player, I want the game to automatically draw a Chance card and execute its instructions when my token lands on a Chance space, so that the game follows the official rules.",Story,Backlog,Highest,"",pm@project.com,"",5,"Game Board and Space Actions,cards","Sprint 4","Core Game Engine & Rules","Monopoly Tycoon","","","EPIC-002","US-016,US-018,US-019,US-047","","",
"Draw a Community Chest card when landing on a Community Chest space","As a player, I want the game to automatically draw a Community Chest card and execute its instructions when my token lands on a Community Chest space, so that the game correctly follows the official rules.",Story,Backlog,Highest,"",pm@project.com,"",5,"Game Board and Space Actions,cards","Sprint 4","Core Game Engine & Rules","Monopoly Tycoon","","","EPIC-002","US-016,US-018,US-047","","",
"Experience no gameplay effect when landing on Free Parking","As a player, I want the game to apply no special action when my token lands on the Free Parking space so that the game adheres to the official Monopoly rules.",Story,Backlog,Highest,"",pm@project.com,"",1,"Game Rule Implementation,board-spaces","Sprint 4","Core Game Engine & Rules","Monopoly Tycoon","","","EPIC-002","US-015,US-016,US-017","","",
"Be forced to pay the fine after failing to roll doubles for 3 turns in jail","As a player in jail for my third consecutive turn, I want the game to automatically force me to pay the $50 fine if I fail to roll doubles, so that the official game rules are enforced.",Story,Backlog,Highest,"",pm@project.com,"",5,"Game Rule Enforcement,jail","Sprint 5","Core Game Engine & Rules","Monopoly Tycoon","","","EPIC-002","US-022,US-038,US-047","","",
"Choose to pay $200 or 10% of my net worth for Income Tax","As a human player, I want to be presented with a clear choice between paying a flat $200 or 10% of my total net worth when I land on the Income Tax space, so that I can make the most strategic financial decision.",Story,Backlog,Highest,"",pm@project.com,"",5,"Game Board Space Actions,tax","Sprint 5","Core Game Engine & Rules","Monopoly Tycoon","","","EPIC-002","US-016,US-038,US-047","","",
"Pay a fixed Luxury Tax amount","As a player, I want the game to automatically deduct the fixed Luxury Tax amount from my cash when I land on that space, so that the game correctly follows the official rules.",Story,Backlog,Highest,"",pm@project.com,"",2,"Game Board Actions,tax","Sprint 5","Core Game Engine & Rules","Monopoly Tycoon","","","EPIC-002","US-016,US-038,US-047","","",
"Manage my properties before rolling the dice","As a strategic player, I want a dedicated phase at the start of my turn to manage my properties (build, mortgage, trade) before I roll the dice, so that I can proactively adjust my financial position.",Story,Backlog,Highest,"",pm@project.com,"",5,"Player Turn Mechanics,game-flow","Sprint 5","Core Game Engine & Rules","Monopoly Tycoon","","","EPIC-002","US-015,US-033,US-038,US-040","","",
"Build houses on properties in a complete color set","As a player who owns a complete color set, I want to purchase and build houses on those properties so that I can increase the rent value and gain a strategic advantage.",Story,Backlog,Highest,"",pm@project.com,"",5,"Core Gameplay Mechanics,property-development","Sprint 5","Property & Economic System","Monopoly Tycoon","","","EPIC-003","US-030,US-034,US-036,US-052","","",
"Enforce even building rule for property development","As a player who owns a complete property set, I want the game to enforce the 'even building' rule when I try to purchase or sell houses, so that the game is fair and follows official Monopoly rules.",Story,Backlog,Highest,"",pm@project.com,"",5,"Core Gameplay Mechanics,rules-engine","Sprint 5","Property & Economic System","Monopoly Tycoon","","","EPIC-003","US-033,US-052","","",
"Upgrade a set of 4 houses to a single hotel","As a player who has developed a monopoly with four houses on each property, I want to purchase a hotel for each of those properties, so that I can charge the maximum possible rent.",Story,Backlog,Highest,"",pm@project.com,"",5,"Property Development,property-management","Sprint 5","Property & Economic System","Monopoly Tycoon","","","EPIC-003","US-033,US-034","","",
"Notify player of building shortage when attempting to build","As a player, I want to receive a clear notification when I am unable to build because the bank has run out of houses or hotels, so that I understand the game state.",Story,Backlog,Medium,"",pm@project.com,"",2,"Core Gameplay Mechanics,ui-feedback","Sprint 5","Property & Economic System","Monopoly Tycoon","","","EPIC-003","US-033,US-052","","",
"Mortgage an undeveloped property to get cash","As a player managing my finances, I want to mortgage my undeveloped properties to the Bank, so that I can receive immediate cash to pay debts or fund purchases.",Story,Backlog,Highest,"",pm@project.com,"",3,"Player Financial Actions,mortgage","Sprint 5","Property & Economic System","Monopoly Tycoon","","","EPIC-003","US-044,US-052","","",
"Unmortgage a property by paying the principal plus 10% interest","As a Human Player managing my assets, I want to pay the bank to unmortgage one of my properties so that I can start collecting rent on it again.",Story,Backlog,Highest,"",pm@project.com,"",3,"Core Gameplay Mechanics,mortgage","Sprint 5","Property & Economic System","Monopoly Tycoon","","","EPIC-003","US-038,US-044,US-052","","",
"Access a dedicated interface to manage all my properties","As a human player, I want to access a dedicated property management screen so that I can efficiently view the status of all my properties and take strategic actions like building or mortgaging.",Story,Backlog,Highest,"",pm@project.com,"",8,"Player Asset Management,ui","Sprint 5","User Interface & Player Experience","Monopoly Tycoon","","","EPIC-004","US-029,US-033,US-034,US-038","","",
"Choose to send an unowned property to auction instead of buying it","As a Human Player, I want the option to decline the immediate purchase of an unowned property I land on so that I can trigger an auction for that property.",Story,Backlog,Highest,"",pm@project.com,"",2,"Property and Economic Management,auction","Sprint 6","Property & Economic System","Monopoly Tycoon","","","EPIC-003","US-030,US-032","","",
"Participate in an auction for a property","As a Human Player, I want to participate in a turn-based auction for an unowned property, placing bids against AI opponents, so that I have a strategic opportunity to acquire properties.",Story,Backlog,Highest,"",pm@project.com,"",5,"Property and Economic Management,auction","Sprint 6","Property & Economic System","Monopoly Tycoon","","","EPIC-003","US-031","","",
"Initiate a trade with an AI opponent during my turn","As a human player, I want to open a trading interface and construct a trade offer involving cash and properties, so that I can strategically negotiate to acquire properties I need.",Story,Backlog,Highest,"",pm@project.com,"",5,"Player Trading,trading","Sprint 6","Property & Economic System","Monopoly Tycoon","","","EPIC-003","US-032,US-052,US-053","","",
"Respond to a trade offer from an AI opponent","As a human player, I want to be presented with a clear dialog when an AI opponent proposes a trade, so that I can evaluate the deal and decide to either accept or decline it.",Story,Backlog,Highest,"",pm@project.com,"",5,"Core Gameplay Mechanics,trading","Sprint 6","Property & Economic System","Monopoly Tycoon","","","EPIC-003","US-032,US-040,US-053","","",
"Propose a counter-offer to an AI's trade proposal","As a strategic player negotiating with an AI, I want to respond to their trade proposal with a modified counter-offer, so that I can fine-tune the deal to better suit my strategic goals.",Story,Backlog,High,"",pm@project.com,"",5,"Core Gameplay Mechanics,trading","Sprint 6","Property & Economic System","Monopoly Tycoon","","","EPIC-003","US-041,US-053","","",
"Receive a non-intrusive notification when AI players trade with each other","As a human player, I want to see a non-intrusive notification when a trade is completed between two AI opponents, so that I can maintain situational awareness of the game's strategic landscape.",Story,Backlog,Medium,"",pm@project.com,"",2,"Player Experience and Feedback,ui-feedback","Sprint 6","User Interface & Player Experience","Monopoly Tycoon","","","EPIC-004","US-010,US-040","","",
"Use a two-panel interface to build and review trade offers","As a Human Player, I want a clear, two-panel trading interface that displays my items and the opponent's items side-by-side so that I can easily construct and review trade offers.",Story,Backlog,Highest,"",pm@project.com,"",8,"Core Gameplay Mechanics,ui-trade","Sprint 6","User Interface & Player Experience","Monopoly Tycoon","","","EPIC-004","US-040,US-041,US-042","","",
"Participate in an auction for the last available buildings","As a strategic player, I want to participate in an auction for the last available houses or hotels when there's a building shortage, so that I have a fair chance to acquire these critical assets.",Story,Backlog,Medium,"",pm@project.com,"",13,"Core Gameplay Mechanics,auction","Sprint 7","Property & Economic System","Monopoly Tycoon","","","EPIC-003","US-033,US-034,US-036","","",
"See a victory screen when I am the last player remaining","As a human player who has won the game, I want to be presented with a distinct and celebratory victory screen, so that my achievement is acknowledged and I feel a sense of accomplishment.",Story,Backlog,Highest,"",pm@project.com,"",5,"Player Experience and Game Flow,win-condition","Sprint 7","Core Game Engine & Rules","Monopoly Tycoon","","","EPIC-002","US-011,US-047,US-048,US-064","","",
"See a game-over screen when I go bankrupt","As a human player, I want to be shown a clear 'Game Over' screen immediately after I am declared bankrupt, so that I understand I have lost the game.",Story,Backlog,Highest,"",pm@project.com,"",5,"Player Game Experience,loss-condition","Sprint 7","Core Game Engine & Rules","Monopoly Tycoon","","","EPIC-002","US-045,US-048","","",
"View a detailed game summary screen after a match ends","As a Human Player who has just completed a game, I want to be shown a detailed game summary screen so that I can review the performance of all players and understand the final outcome.",Story,Backlog,Highest,"",pm@project.com,"",5,"End-Game Experience,game-summary","Sprint 7","User Interface & Player Experience","Monopoly Tycoon","","","EPIC-004","US-013,US-046,US-047","","",
"Choose a custom installation directory","As a Windows PC user installing the game, I want to be able to choose a custom installation directory so that I can manage my disk space and organize my installed applications according to my personal preferences.",Story,Backlog,Highest,"",pm@project.com,"",1,"Game Installation Experience,installer","Sprint 8","Technical Foundation & DevOps","Monopoly Tycoon","","","EPIC-001","US-001","","",
"Provide an option to create a desktop shortcut during installation","As a new player installing the game, I want to see a checkbox option to create a desktop shortcut during the installation process, so that I can easily find and launch the game directly from my desktop after it's installed.",Story,Backlog,High,"",pm@project.com,"",1,"User Onboarding and First-Time Experience,installer","Sprint 8","Technical Foundation & DevOps","Monopoly Tycoon","","","EPIC-001","US-001","","",
"Uninstall the game cleanly from my computer","As a Windows PC user who no longer wishes to keep the game installed, I want a standard and thorough uninstallation process so that I can completely remove all application files and reclaim my disk space, ensuring my system remains clean.",Story,Backlog,Highest,"",pm@project.com,"",2,"Application Lifecycle Management,uninstaller","Sprint 8","Technical Foundation & DevOps","Monopoly Tycoon","","","EPIC-001","US-001,US-007","","",
"Choose to keep my personal data upon uninstallation","As a Windows PC Gamer who needs to uninstall the game, I want to be given a clear choice to keep or delete my personal game data (like save files and player profile) during the uninstallation process so that I can reinstall the game later without losing all my progress and achievements.",Story,Backlog,High,"",pm@project.com,"",2,"Player Experience and Data Management,uninstaller","Sprint 8","Technical Foundation & DevOps","Monopoly Tycoon","","","EPIC-001","US-006,US-061","","",
"View my persistent historical gameplay statistics","As a returning player, I want to access a dedicated screen that displays my cumulative gameplay statistics from all my completed games, so that I can track my performance, see my win/loss record, and feel a sense of long-term progression and achievement.",Story,Backlog,Medium,"",pm@project.com,"",5,"Player Engagement and Replayability,statistics","Sprint 8","Data Persistence & Management","Monopoly Tycoon","","","EPIC-006","US-011,US-046,US-047","","",
"Reset all my historical statistics and high scores","As a Data-Conscious Player, I want an option in the settings menu to permanently delete all my historical gameplay statistics and high scores after a confirmation prompt, so that I can have a clean slate.",Story,Backlog,Low,"",pm@project.com,"",2,"Player Profile and Statistics,data-management","Sprint 8","Data Persistence & Management","Monopoly Tycoon","","","EPIC-006","US-013,US-054,US-064","","",
"Provide a bulk deletion option for all saved games via the settings menu","As a user who wants to manage my game data, I want an option in the settings menu to delete all my saved games at once, with a confirmation step, so that I can easily clear out old progress.",Story,Backlog,Low,"",pm@project.com,"",1,"Player Profile and Data Persistence,data-management","Sprint 8","Data Persistence & Management","Monopoly Tycoon","","","EPIC-006","US-054,US-061","","",
"Continue playing my saved games from older versions of the application","As a Returning Player with a saved game from a previous version, I want the application to automatically update my save file when I load it, so that I can continue my progress without losing it after a game update.",Story,Backlog,Low,"",pm@project.com,"",5,"Save/Load System,data-migration","Sprint 8","Data Persistence & Management","Monopoly Tycoon","","","EPIC-006","US-062","","",
"View a list of my top 10 victories","As a competitive player, I want to access a Top 10 High Score screen from the main menu, so that I can review my most successful victories and be motivated to beat my own records.",Story,Backlog,High,"",pm@project.com,"",2,"Player Progression and Replayability,high-scores","Sprint 8","Data Persistence & Management","Monopoly Tycoon","","","EPIC-006","US-011,US-046,US-048","","",
"Export my top score history to a text file","As a competitive player, I want to export my Top 10 High Scores list to a simple, human-readable text file, so that I can easily share my achievements with friends or keep a personal record.",Story,Backlog,Low,"",pm@project.com,"",1,"Game Features,export","Sprint 8","Data Persistence & Management","Monopoly Tycoon","","","EPIC-006","US-064","","",
"Access an in-game settings menu","As a player in the middle of a game, I want to access a settings menu without quitting the match, so that I can adjust game options, save my progress, or exit the game.",Story,Backlog,Highest,"",pm@project.com,"",5,"Game Experience and Usability,settings-menu","Sprint 8","User Interface & Player Experience","Monopoly Tycoon","","","EPIC-004","US-049","","",
"Adjust the game speed to make animations faster or instant","As an experienced player, I want to change the game speed setting so that I can reduce waiting times for animations and AI decisions, allowing for a faster-paced game.",Story,Backlog,High,"",pm@project.com,"",5,"Gameplay Customization,settings","Sprint 8","User Interface & Player Experience","Monopoly Tycoon","","","EPIC-004","US-054,US-061,US-062","","",
"Adjust master, music, and sound effect volumes independently","As a player, I want to independently adjust the master, music, and sound effect volume levels so that I can customize the game's audio to my personal preference.",Story,Backlog,Highest,"",pm@project.com,"",3,"User Experience and Customization,audio-settings","Sprint 8","User Interface & Player Experience","Monopoly Tycoon","","","EPIC-004","US-054","","",
"Start an optional interactive tutorial to learn the game","As a new player, I want to start an optional, interactive tutorial so that I can learn the basic rules and game controls in a guided, hands-on environment.",Story,Backlog,High,"",pm@project.com,"",8,"User Experience and First-Time Play,tutorial","Sprint 9","User Interface & Player Experience","Monopoly Tycoon","","","EPIC-004","US-008,US-015,US-016,US-030,US-044","","",
